"region","prefecture","ordre","action","dimension","impact_attendu","confiance","justification"
"Kara","Assoli",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",72,"42.3% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Assoli",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",72,"Densité de 15.8 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Assoli",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",67,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Assoli",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",67,"76.9 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Bassar",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",83,"Densité de 10.2 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Bassar",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Binah",1,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",73,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Binah",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",73,"68.3 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Dankpen",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",80,"Densité de 12.3 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Dankpen",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",80,"57.1 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Dankpen",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",75,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Doufelgou",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",78,"44.8% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Doufelgou",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",73,"Densité de 17.1 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Doufelgou",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",73,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Doufelgou",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",73,"69.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Kozah",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",87,"41% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Kozah",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",82,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kéran",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",73,"Densité de 11.4 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Kéran",2,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",73,"Taux d'encadrement estimé à 146.7 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Kara","Kéran",3,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",68,"53.9% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Kéran",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",68,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kéran",5,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",68,"72.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Agoè-Nyivé",1,"Aménager des terrains de sport","Infrastructures essentielles","Très élevé",88,"Seuls 13.4% des établissements disposent d'un terrain de sport."
"Maritime","Agoè-Nyivé",2,"Recruter et affecter des enseignants","Capacité enseignante","Moyen",83,"Taux d'encadrement estimé à 172.7 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Agoè-Nyivé",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",83,"59 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Agoè-Nyivé",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",83,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Avé",1,"Recruter et affecter des enseignants","Capacité enseignante","Très élevé",83,"Taux d'encadrement estimé à 131.2 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Avé",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",83,"56.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Avé",3,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Moyen",83,"Seulement 45.8 jardins d'enfants pour 100 écoles primaires."
"Maritime","Avé",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Bas-Mono",1,"Recruter et affecter des enseignants","Capacité enseignante","Très élevé",78,"Taux d'encadrement estimé à 92.7 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Bas-Mono",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",78,"Seulement 36.9 jardins d'enfants pour 100 écoles primaires."
"Maritime","Bas-Mono",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",73,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Bas-Mono",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",73,"85.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Golfe",1,"Aménager des terrains de sport","Infrastructures essentielles","Très élevé",88,"Seuls 11.2% des établissements disposent d'un terrain de sport."
"Maritime","Golfe",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",88,"44.5% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Maritime","Golfe",3,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",88,"Taux d'encadrement estimé à 145.4 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Golfe",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",83,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Lacs",1,"Recruter et affecter des enseignants","Capacité enseignante","Très élevé",85,"Taux d'encadrement estimé à 127.6 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Lacs",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",85,"48.5% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Maritime","Lacs",3,"Aménager des terrains de sport","Infrastructures essentielles","Moyen",85,"Seuls 25.9% des établissements disposent d'un terrain de sport."
"Maritime","Lacs",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",80,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Vo",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",81,"Seulement 37.4 jardins d'enfants pour 100 écoles primaires."
"Maritime","Vo",2,"Recruter et affecter des enseignants","Capacité enseignante","Moyen",81,"Taux d'encadrement estimé à 161.9 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Vo",3,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",76,"54.2% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Maritime","Vo",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",76,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Vo",5,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",76,"73.5 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Yoto",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Très élevé",84,"Seulement 26.9 jardins d'enfants pour 100 écoles primaires."
"Maritime","Yoto",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",84,"57 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Yoto",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",79,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Zio",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",83,"51 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Zio",2,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",83,"Taux d'encadrement estimé à 146.1 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Zio",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Agou",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",80,"41.1% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Plateaux","Agou",2,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",80,"Taux d'encadrement estimé à 147 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Plateaux","Agou",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",80,"56 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Agou",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",75,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Akébou",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Très élevé",74,"41.8 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Akébou",2,"Aménager des terrains de sport","Infrastructures essentielles","Élevé",74,"Seuls 22.9% des établissements disposent d'un terrain de sport."
"Plateaux","Akébou",3,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",69,"Densité de 16.1 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Plateaux","Akébou",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",69,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Amou",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Très élevé",78,"47 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Amou",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Moyen",78,"Seulement 41 jardins d'enfants pour 100 écoles primaires."
"Plateaux","Amou",3,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",78,"53.2% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Plateaux","Amou",4,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",73,"Densité de 16.8 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Plateaux","Amou",5,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",73,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Anié",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Très élevé",83,"31.1 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Anié",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Très élevé",83,"Seulement 24.2 jardins d'enfants pour 100 écoles primaires."
"Plateaux","Anié",3,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",83,"Densité de 13 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Plateaux","Anié",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Danyi",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Très élevé",74,"40.5 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Danyi",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",74,"42.9% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Plateaux","Danyi",3,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",74,"Taux d'encadrement estimé à 132.1 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Plateaux","Danyi",4,"Aménager des terrains de sport","Infrastructures essentielles","Moyen",69,"Seuls 29.1% des établissements disposent d'un terrain de sport."
"Plateaux","Danyi",5,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",69,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Est-Mono",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",83,"Densité de 11.5 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Plateaux","Est-Mono",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",83,"Seulement 39.5 jardins d'enfants pour 100 écoles primaires."
"Plateaux","Est-Mono",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Est-Mono",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",78,"75.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Haho",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",86,"51.2 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Haho",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",86,"Seulement 38.8 jardins d'enfants pour 100 écoles primaires."
"Plateaux","Haho",3,"Recruter et affecter des enseignants","Capacité enseignante","Moyen",81,"Taux d'encadrement estimé à 172.9 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Plateaux","Haho",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",81,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Haho",5,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",81,"Densité de 18.9 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Plateaux","Kloto",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",85,"41.1% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Plateaux","Kloto",2,"Aménager des terrains de sport","Infrastructures essentielles","Élevé",85,"Seuls 22.4% des établissements disposent d'un terrain de sport."
"Plateaux","Kloto",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",80,"59.8 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Kloto",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",80,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Kpélé",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",76,"53 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Kpélé",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",71,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Moyen-Mono",1,"Recruter et affecter des enseignants","Capacité enseignante","Très élevé",75,"Taux d'encadrement estimé à 118 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Plateaux","Moyen-Mono",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",75,"54.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Moyen-Mono",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",70,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Ogou",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Très élevé",84,"Seulement 29.2 jardins d'enfants pour 100 écoles primaires."
"Plateaux","Ogou",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",79,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux","Ogou",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",79,"64.3 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Wawa",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Très élevé",82,"40.3 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux","Wawa",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",82,"Seulement 36.3 jardins d'enfants pour 100 écoles primaires."
"Plateaux","Wawa",3,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",82,"51.7% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Plateaux","Wawa",4,"Aménager des terrains de sport","Infrastructures essentielles","Moyen",82,"Seuls 24.7% des établissements disposent d'un terrain de sport."
"Plateaux","Wawa",5,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",77,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes","Cinkassé",1,"Aménager des terrains de sport","Infrastructures essentielles","Très élevé",73,"Seuls 14.5% des établissements disposent d'un terrain de sport."
"Savanes","Cinkassé",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",73,"53.5% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Savanes","Cinkassé",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",68,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes","Cinkassé",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",68,"102.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Savanes","Kpendjal",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",63,"Densité de 7.9 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Savanes","Kpendjal",2,"Aménager des terrains de sport","Infrastructures essentielles","Élevé",63,"Seuls 23.3% des établissements disposent d'un terrain de sport."
"Savanes","Kpendjal",3,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",63,"Seulement 40.7 jardins d'enfants pour 100 écoles primaires."
"Savanes","Kpendjal",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",58,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes","Kpendjal",5,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",58,"87.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Savanes","Kpendjal-Ouest",1,"Recruter et affecter des enseignants","Capacité enseignante","Très élevé",70,"Taux d'encadrement estimé à 0 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Savanes","Kpendjal-Ouest",2,"Aménager des terrains de sport","Infrastructures essentielles","Moyen",65,"Seuls 26.2% des établissements disposent d'un terrain de sport."
"Savanes","Kpendjal-Ouest",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",65,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes","Kpendjal-Ouest",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",65,"107.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Savanes","Oti",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",74,"Densité de 13.1 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Savanes","Oti",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",69,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes","Oti-Sud",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",71,"Densité de 7.3 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Savanes","Oti-Sud",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Très élevé",71,"Seulement 26.3 jardins d'enfants pour 100 écoles primaires."
"Savanes","Oti-Sud",3,"Aménager des terrains de sport","Infrastructures essentielles","Élevé",71,"Seuls 24% des établissements disposent d'un terrain de sport."
"Savanes","Oti-Sud",4,"Recruter et affecter des enseignants","Capacité enseignante","Moyen",71,"Taux d'encadrement estimé à 152.8 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Savanes","Oti-Sud",5,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",66,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes","Tandjoaré",1,"Aménager des terrains de sport","Infrastructures essentielles","Élevé",80,"Seuls 24.5% des établissements disposent d'un terrain de sport."
"Savanes","Tandjoaré",2,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",80,"Taux d'encadrement estimé à 150.4 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Savanes","Tandjoaré",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",75,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes","Tandjoaré",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",75,"75.5 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Savanes","Tône",1,"Aménager des terrains de sport","Infrastructures essentielles","Élevé",83,"Seuls 23.2% des établissements disposent d'un terrain de sport."
"Savanes","Tône",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
