"region","prefecture","commune","ordre","action","dimension","impact_attendu","confiance","justification"
"Centrale","Sotouboua","Sotouboua 2",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",67,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Sotouboua","Sotouboua 2",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",67,"78.9 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Sotouboua","Sotouboua 3",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",62,"Densité de 12.9 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Sotouboua","Sotouboua 3",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",57,"52% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Sotouboua","Sotouboua 3",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",57,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Sotouboua","Sotouboua 3",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",57,"78.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchamba","Tchamba 1",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",66,"Seulement 32.5 jardins d'enfants pour 100 écoles primaires."
"Centrale","Tchamba","Tchamba 1",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",66,"Densité de 15 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Tchamba","Tchamba 1",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",61,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchamba","Tchamba 1",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",61,"82.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchamba","Tchamba 2",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Très élevé",68,"Seulement 19.1 jardins d'enfants pour 100 écoles primaires."
"Centrale","Tchamba","Tchamba 2",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",68,"Densité de 8.3 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Tchamba","Tchamba 2",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",63,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchamba","Tchamba 2",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",63,"70.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchamba","Tchamba 3",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Très élevé",66,"Seulement 15.9 jardins d'enfants pour 100 écoles primaires."
"Centrale","Tchamba","Tchamba 3",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",66,"Densité de 9.2 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Tchamba","Tchamba 3",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",61,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchamba","Tchamba 3",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",61,"68.5 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo","Tchaoudjo 1",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",81,"48.3% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo","Tchaoudjo 1",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",76,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchaoudjo","Tchaoudjo 2",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",60,"Densité de 16 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Tchaoudjo","Tchaoudjo 2",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",55,"51.4% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo","Tchaoudjo 2",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",55,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchaoudjo","Tchaoudjo 2",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",55,"78.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo","Tchaoudjo 3",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",63,"Densité de 7.5 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Tchaoudjo","Tchaoudjo 3",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",58,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchaoudjo","Tchaoudjo 3",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",58,"117.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo","Tchaoudjo 4",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",63,"Densité de 8.7 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Tchaoudjo","Tchaoudjo 4",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",63,"Seulement 34.6 jardins d'enfants pour 100 écoles primaires."
"Centrale","Tchaoudjo","Tchaoudjo 4",3,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",58,"53.4% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo","Tchaoudjo 4",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",58,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchaoudjo","Tchaoudjo 4",5,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",58,"118.2 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Assoli","Assoli 1",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",65,"41% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Assoli","Assoli 1",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",60,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Assoli","Assoli 1",3,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",60,"Densité de 19.5 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Assoli","Assoli 1",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",60,"72.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Assoli","Assoli 2",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",62,"27.8% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Assoli","Assoli 2",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",62,"Densité de 12 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Assoli","Assoli 2",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",57,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Assoli","Assoli 3",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",59,"Seulement 35 jardins d'enfants pour 100 écoles primaires."
"Kara","Assoli","Assoli 3",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",59,"Densité de 13.6 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Assoli","Assoli 3",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",54,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Assoli","Assoli 3",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",54,"96.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Bassar","Bassar 1",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",70,"Densité de 8 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Bassar","Bassar 1",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",65,"51.4% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Bassar","Bassar 1",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",65,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Bassar","Bassar 2",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",68,"Densité de 11.4 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Bassar","Bassar 2",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",63,"58.9 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Bassar","Bassar 2",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",63,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Bassar","Bassar 3",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",63,"Seulement 37.8 jardins d'enfants pour 100 écoles primaires."
"Kara","Bassar","Bassar 3",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",63,"Densité de 13.6 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Bassar","Bassar 3",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",58,"60 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Bassar","Bassar 3",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",58,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Bassar","Bassar 4",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",59,"Densité de 12 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Bassar","Bassar 4",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",59,"52.9 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Bassar","Bassar 4",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",54,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Binah","Binah 1",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",72,"50.6% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Binah","Binah 1",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",67,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Binah","Binah 1",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",67,"67.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Binah","Binah 2",1,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",61,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Dankpen","Dankpen 1",1,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",69,"56.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Dankpen","Dankpen 1",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",64,"Densité de 17.7 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Dankpen","Dankpen 1",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",64,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Dankpen","Dankpen 2",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",65,"Densité de 9.8 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Dankpen","Dankpen 2",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",65,"Seulement 33.3 jardins d'enfants pour 100 écoles primaires."
"Kara","Dankpen","Dankpen 2",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",60,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Dankpen","Dankpen 2",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",60,"70.9 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Dankpen","Dankpen 3",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",71,"Densité de 10.8 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Dankpen","Dankpen 3",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",71,"52.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Dankpen","Dankpen 3",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",66,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Doufelgou","Doufelgou 1",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",70,"36.8% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Doufelgou","Doufelgou 1",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",65,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Doufelgou","Doufelgou 1",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",65,"64 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Doufelgou","Doufelgou 2",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",62,"50% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Doufelgou","Doufelgou 2",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",62,"Densité de 16.1 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Doufelgou","Doufelgou 2",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",57,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Doufelgou","Doufelgou 3",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",63,"Densité de 12.1 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Doufelgou","Doufelgou 3",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",58,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kozah","Kozah 1",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",83,"47.3% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Kozah","Kozah 1",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kozah","Kozah 2",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",68,"24.2% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Kozah","Kozah 2",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",63,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kozah","Kozah 3",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",65,"39.7% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Kozah","Kozah 3",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Moyen",60,"59.3 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Kozah","Kozah 3",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",60,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kozah","Kozah 4",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",64,"45.7% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Kozah","Kozah 4",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",59,"Densité de 17.5 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Kozah","Kozah 4",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",59,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kozah","Kozah 4",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",59,"68.9 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Kéran","Kéran 1",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",63,"Densité de 11.5 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Kéran","Kéran 1",2,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",63,"Taux d'encadrement estimé à 146.5 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Kara","Kéran","Kéran 1",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",58,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kéran","Kéran 1",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",58,"74.7 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Kéran","Kéran 2",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",61,"Densité de 10.3 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Kéran","Kéran 2",2,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",61,"Taux d'encadrement estimé à 146.5 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Kara","Kéran","Kéran 2",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",56,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara","Kéran","Kéran 2",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",56,"69.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara","Kéran","Kéran 3",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",62,"38.2% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara","Kéran","Kéran 3",2,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",62,"Taux d'encadrement estimé à 146.4 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Kara","Kéran","Kéran 3",3,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",62,"Densité de 13.2 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara","Kéran","Kéran 3",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",57,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1",1,"Aménager des terrains de sport","Infrastructures essentielles","Très élevé",88,"Seuls 11.6% des établissements disposent d'un terrain de sport."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1",2,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",88,"43.3% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1",3,"Recruter et affecter des enseignants","Capacité enseignante","Moyen",83,"Taux d'encadrement estimé à 172.8 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",83,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2",1,"Aménager des terrains de sport","Infrastructures essentielles","Très élevé",75,"Seuls 14.5% des établissements disposent d'un terrain de sport."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",75,"51.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2",3,"Recruter et affecter des enseignants","Capacité enseignante","Moyen",70,"Taux d'encadrement estimé à 172.8 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",70,"Aucune bibliothèque scolaire recensée sur le territoire."
"Maritime","Agoè-Nyivé","Agoè-Nyivé 3",1,"Aménager des terrains de sport","Infrastructures essentielles","Très élevé",70,"Seuls 8% des établissements disposent d'un terrain de sport."
