"region","prefecture","classe","libelle_classe","ispe","rang","niveau_priorite","points_faibles","points_forts","z_faibles","z_forts","explication"
"Kara","Kozah",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",50.3,29,"Modéré","Bâtiments construits depuis 2010 (%)|Établissements pour 100 km²|Complétude du cycle éducatif (%)","Toilettes améliorées (WC / eau) (%)|Établissements avec terrain de sport (%)|Jardins d'enfants pour 100 écoles primaires","-1.67|-0.13|0","0.71|0.86|0.94","Kozah se situe au rang 29 sur 39 au niveau national avec un score ISPE de 50.3 (modéré). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; établissements pour 100 km² ; complétude du cycle éducatif (%). Le territoire conserve des atouts relatifs sur : toilettes améliorées (wc / eau) (%) ; établissements avec terrain de sport (%) ; jardins d'enfants pour 100 écoles primaires."
"Kara","Kéran",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",62,10,"Prioritaire","Toilettes améliorées (WC / eau) (%)|Enseignants pour 100 jardins d'enfants|Enseignants du préscolaire pour 100 établissements","Bibliothèques pour 100 établissements|Points de toilettes pour 100 établissements|Établissements avec terrain de sport (%)","-0.66|-0.54|-0.37","0|0.28|0.8","Kéran se situe au rang 10 sur 39 au niveau national avec un score ISPE de 62 (prioritaire). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; enseignants pour 100 jardins d'enfants ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : bibliothèques pour 100 établissements ; points de toilettes pour 100 établissements ; établissements avec terrain de sport (%)."
"Maritime","Agoè-Nyivé",3,"Classe 3 — Priorité modérée : déficits marqués en infrastructures essentielles",45.6,35,"Satisfaisant","Bâtiments recensés par établissement|Établissements avec terrain de sport (%)|Points de toilettes pour 100 établissements","Bâtiments construits depuis 2010 (%)|Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²","-2.33|-2.06|-0.51","1.12|2.07|2.5","Agoè-Nyivé se situe au rang 35 sur 39 au niveau national avec un score ISPE de 45.6 (satisfaisant). Ce classement s'explique principalement par : bâtiments recensés par établissement ; établissements avec terrain de sport (%) ; points de toilettes pour 100 établissements. Le territoire conserve des atouts relatifs sur : bâtiments construits depuis 2010 (%) ; toilettes améliorées (wc / eau) (%) ; établissements pour 100 km²."
"Maritime","Avé",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",69.7,5,"Très prioritaire","Toilettes améliorées (WC / eau) (%)|Enseignants du préscolaire pour 100 établissements|Enseignants pour 100 jardins d'enfants","Bibliothèques pour 100 établissements|Bâtiments construits depuis 2010 (%)|Établissements avec terrain de sport (%)","-1.14|-0.83|-0.72","0|0.31|0.52","Avé se situe au rang 5 sur 39 au niveau national avec un score ISPE de 69.7 (très prioritaire). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; enseignants du préscolaire pour 100 établissements ; enseignants pour 100 jardins d'enfants. Le territoire conserve des atouts relatifs sur : bibliothèques pour 100 établissements ; bâtiments construits depuis 2010 (%) ; établissements avec terrain de sport (%)."
"Maritime","Bas-Mono",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",60.6,12,"Prioritaire","Enseignants du préscolaire pour 100 établissements|Enseignants pour 100 jardins d'enfants|Jardins d'enfants pour 100 écoles primaires","Bâtiments recensés par établissement|Points de toilettes pour 100 établissements|Établissements avec terrain de sport (%)","-1.33|-1.17|-0.94","0.24|1.03|1.12","Bas-Mono se situe au rang 12 sur 39 au niveau national avec un score ISPE de 60.6 (prioritaire). Ce classement s'explique principalement par : enseignants du préscolaire pour 100 établissements ; enseignants pour 100 jardins d'enfants ; jardins d'enfants pour 100 écoles primaires. Le territoire conserve des atouts relatifs sur : bâtiments recensés par établissement ; points de toilettes pour 100 établissements ; établissements avec terrain de sport (%)."
"Maritime","Golfe",3,"Classe 3 — Priorité modérée : déficits marqués en infrastructures essentielles",56.5,19,"À surveiller","Bâtiments recensés par établissement|Établissements avec terrain de sport (%)|Bâtiments construits depuis 2010 (%)","Jardins d'enfants pour 100 écoles primaires|Établissements pour 100 km²|Toilettes améliorées (WC / eau) (%)","-2.48|-2.28|-1.31","1.33|2.5|2.5","Golfe se situe au rang 19 sur 39 au niveau national avec un score ISPE de 56.5 (à surveiller). Ce classement s'explique principalement par : bâtiments recensés par établissement ; établissements avec terrain de sport (%) ; bâtiments construits depuis 2010 (%). Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; établissements pour 100 km² ; toilettes améliorées (wc / eau) (%)."
"Maritime","Lacs",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",65,7,"Très prioritaire","Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement|Établissements avec terrain de sport (%)","Établissements pour 100 km²|Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)","-0.91|-0.8|-0.78","0.24|0.43|1.02","Lacs se situe au rang 7 sur 39 au niveau national avec un score ISPE de 65 (très prioritaire). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement ; établissements avec terrain de sport (%). Le territoire conserve des atouts relatifs sur : établissements pour 100 km² ; jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%)."
"Maritime","Vo",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",58.9,17,"À surveiller","Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements|Enseignants pour 100 jardins d'enfants","Points de toilettes pour 100 établissements|Établissements avec terrain de sport (%)|Bâtiments recensés par établissement","-0.91|-0.7|-0.36","0.33|0.46|0.65","Vo se situe au rang 17 sur 39 au niveau national avec un score ISPE de 58.9 (à surveiller). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements ; enseignants pour 100 jardins d'enfants. Le territoire conserve des atouts relatifs sur : points de toilettes pour 100 établissements ; établissements avec terrain de sport (%) ; bâtiments recensés par établissement."
"Maritime","Yoto",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",54,22,"À surveiller","Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements|Points de toilettes pour 100 établissements","Toilettes améliorées (WC / eau) (%)|Bâtiments recensés par établissement|Établissements avec terrain de sport (%)","-1.62|-0.93|-0.62","0.74|1.25|2.08","Yoto se situe au rang 22 sur 39 au niveau national avec un score ISPE de 54 (à surveiller). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements ; points de toilettes pour 100 établissements. Le territoire conserve des atouts relatifs sur : toilettes améliorées (wc / eau) (%) ; bâtiments recensés par établissement ; établissements avec terrain de sport (%)."
"Maritime","Zio",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",63.4,8,"Très prioritaire","Points de toilettes pour 100 établissements|Enseignants du préscolaire pour 100 établissements|Enseignants pour 100 jardins d'enfants","Complétude du cycle éducatif (%)|Bibliothèques pour 100 établissements|Bâtiments construits depuis 2010 (%)","-0.97|-0.59|-0.55","0|0|0.98","Zio se situe au rang 8 sur 39 au niveau national avec un score ISPE de 63.4 (très prioritaire). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; enseignants du préscolaire pour 100 établissements ; enseignants pour 100 jardins d'enfants. Le territoire conserve des atouts relatifs sur : complétude du cycle éducatif (%) ; bibliothèques pour 100 établissements ; bâtiments construits depuis 2010 (%)."
"Plateaux","Agou",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",73.9,3,"Très prioritaire","Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement|Points de toilettes pour 100 établissements","Jardins d'enfants pour 100 écoles primaires|Établissements avec terrain de sport (%)|Toilettes améliorées (WC / eau) (%)","-1.66|-0.77|-0.68","0.13|0.24|0.52","Agou se situe au rang 3 sur 39 au niveau national avec un score ISPE de 73.9 (très prioritaire). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement ; points de toilettes pour 100 établissements. Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; établissements avec terrain de sport (%) ; toilettes améliorées (wc / eau) (%)."
"Plateaux","Akébou",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",56.2,21,"À surveiller","Points de toilettes pour 100 établissements|Établissements avec terrain de sport (%)|Toilettes améliorées (WC / eau) (%)","Jardins d'enfants pour 100 écoles primaires|Bâtiments recensés par établissement|Bâtiments construits depuis 2010 (%)","-1.5|-1.08|-0.8","1.1|1.17|1.23","Akébou se situe au rang 21 sur 39 au niveau national avec un score ISPE de 56.2 (à surveiller). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; établissements avec terrain de sport (%) ; toilettes améliorées (wc / eau) (%). Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; bâtiments recensés par établissement ; bâtiments construits depuis 2010 (%)."
"Plateaux","Amou",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",69.4,6,"Très prioritaire","Points de toilettes pour 100 établissements|Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)","Bibliothèques pour 100 établissements|Enseignants pour 100 jardins d'enfants|Établissements avec terrain de sport (%)","-1.2|-0.67|-0.51","0|0.1|0.86","Amou se situe au rang 6 sur 39 au niveau national avec un score ISPE de 69.4 (très prioritaire). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%). Le territoire conserve des atouts relatifs sur : bibliothèques pour 100 établissements ; enseignants pour 100 jardins d'enfants ; établissements avec terrain de sport (%)."
"Plateaux","Anié",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",72.5,4,"Très prioritaire","Points de toilettes pour 100 établissements|Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements","Bibliothèques pour 100 établissements|Bâtiments recensés par établissement|Bâtiments construits depuis 2010 (%)","-2.11|-1.81|-0.92","0|0.8|1.34","Anié se situe au rang 4 sur 39 au niveau national avec un score ISPE de 72.5 (très prioritaire). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : bibliothèques pour 100 établissements ; bâtiments recensés par établissement ; bâtiments construits depuis 2010 (%)."
"Plateaux","Danyi",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",76.8,2,"Très prioritaire","Points de toilettes pour 100 établissements|Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement","Bibliothèques pour 100 établissements|Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)","-1.57|-1.48|-1.03","0|0.89|1","Danyi se situe au rang 2 sur 39 au niveau national avec un score ISPE de 76.8 (très prioritaire). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement. Le territoire conserve des atouts relatifs sur : bibliothèques pour 100 établissements ; jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%)."
"Plateaux","Est-Mono",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",51,28,"Modéré","Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)|Enseignants du préscolaire pour 100 établissements","Points de toilettes pour 100 établissements|Bâtiments recensés par établissement|Bâtiments construits depuis 2010 (%)","-0.77|-0.46|-0.33","0.45|0.76|1.11","Est-Mono se situe au rang 28 sur 39 au niveau national avec un score ISPE de 51 (modéré). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%) ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : points de toilettes pour 100 établissements ; bâtiments recensés par établissement ; bâtiments construits depuis 2010 (%)."
"Plateaux","Haho",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",52.4,25,"Modéré","Points de toilettes pour 100 établissements|Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements","Toilettes améliorées (WC / eau) (%)|Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement","-0.96|-0.82|-0.44","0.25|1.31|1.84","Haho se situe au rang 25 sur 39 au niveau national avec un score ISPE de 52.4 (modéré). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : toilettes améliorées (wc / eau) (%) ; bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement."
"Plateaux","Kloto",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",61.1,11,"Prioritaire","Bâtiments construits depuis 2010 (%)|Établissements avec terrain de sport (%)|Bâtiments recensés par établissement","Enseignants pour 100 jardins d'enfants|Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements","-1.66|-1.14|-0.51","0.87|1.02|1.44","Kloto se situe au rang 11 sur 39 au niveau national avec un score ISPE de 61.1 (prioritaire). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; établissements avec terrain de sport (%) ; bâtiments recensés par établissement. Le territoire conserve des atouts relatifs sur : enseignants pour 100 jardins d'enfants ; jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements."
"Plateaux","Kpélé",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",53.9,23,"À surveiller","Points de toilettes pour 100 établissements|Toilettes améliorées (WC / eau) (%)|Jardins d'enfants pour 100 écoles primaires","Enseignants pour 100 jardins d'enfants|Établissements avec terrain de sport (%)|Bâtiments recensés par établissement","-0.85|-0.41|-0.31","0.36|0.71|1.28","Kpélé se situe au rang 23 sur 39 au niveau national avec un score ISPE de 53.9 (à surveiller). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; toilettes améliorées (wc / eau) (%) ; jardins d'enfants pour 100 écoles primaires. Le territoire conserve des atouts relatifs sur : enseignants pour 100 jardins d'enfants ; établissements avec terrain de sport (%) ; bâtiments recensés par établissement."
"Plateaux","Moyen-Mono",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",60.6,12,"Prioritaire","Toilettes améliorées (WC / eau) (%)|Enseignants pour 100 jardins d'enfants|Enseignants du préscolaire pour 100 établissements","Établissements avec terrain de sport (%)|Bâtiments recensés par établissement|Bâtiments construits depuis 2010 (%)","-1.82|-0.88|-0.83","0.29|1.25|1.67","Moyen-Mono se situe au rang 12 sur 39 au niveau national avec un score ISPE de 60.6 (prioritaire). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; enseignants pour 100 jardins d'enfants ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : établissements avec terrain de sport (%) ; bâtiments recensés par établissement ; bâtiments construits depuis 2010 (%)."
"Plateaux","Ogou",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",60,14,"Prioritaire","Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements|Bâtiments construits depuis 2010 (%)","Enseignants pour 100 jardins d'enfants|Établissements avec terrain de sport (%)|Bâtiments recensés par établissement","-1.47|-0.55|-0.31","0.2|0.85|1.14","Ogou se situe au rang 14 sur 39 au niveau national avec un score ISPE de 60 (prioritaire). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements ; bâtiments construits depuis 2010 (%). Le territoire conserve des atouts relatifs sur : enseignants pour 100 jardins d'enfants ; établissements avec terrain de sport (%) ; bâtiments recensés par établissement."
"Plateaux","Wawa",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",80.6,1,"Très prioritaire","Points de toilettes pour 100 établissements|Jardins d'enfants pour 100 écoles primaires|Bâtiments recensés par établissement","Complétude du cycle éducatif (%)|Bibliothèques pour 100 établissements|Toilettes améliorées (WC / eau) (%)","-1.58|-0.99|-0.95","0|0|0.71","Wawa se situe au rang 1 sur 39 au niveau national avec un score ISPE de 80.6 (très prioritaire). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; jardins d'enfants pour 100 écoles primaires ; bâtiments recensés par établissement. Le territoire conserve des atouts relatifs sur : complétude du cycle éducatif (%) ; bibliothèques pour 100 établissements ; toilettes améliorées (wc / eau) (%)."
"Savanes","Cinkassé",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",45.5,36,"Satisfaisant","Établissements avec terrain de sport (%)|Bâtiments construits depuis 2010 (%)|Toilettes améliorées (WC / eau) (%)","Jardins d'enfants pour 100 écoles primaires|Bâtiments recensés par établissement|Points de toilettes pour 100 établissements","-1.94|-0.4|-0.13","0.64|1.17|1.99","Cinkassé se situe au rang 36 sur 39 au niveau national avec un score ISPE de 45.5 (satisfaisant). Ce classement s'explique principalement par : établissements avec terrain de sport (%) ; bâtiments construits depuis 2010 (%) ; toilettes améliorées (wc / eau) (%). Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; bâtiments recensés par établissement ; points de toilettes pour 100 établissements."
"Savanes","Kpendjal",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",49.8,30,"Modéré","Toilettes améliorées (WC / eau) (%)|Établissements avec terrain de sport (%)|Jardins d'enfants pour 100 écoles primaires","Points de toilettes pour 100 établissements|Enseignants pour 100 jardins d'enfants|Enseignants du préscolaire pour 100 établissements","-1.66|-1.04|-0.69","1.13|2.5|2.5","Kpendjal se situe au rang 30 sur 39 au niveau national avec un score ISPE de 49.8 (modéré). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; établissements avec terrain de sport (%) ; jardins d'enfants pour 100 écoles primaires. Le territoire conserve des atouts relatifs sur : points de toilettes pour 100 établissements ; enseignants pour 100 jardins d'enfants ; enseignants du préscolaire pour 100 établissements."
"Savanes","Kpendjal-Ouest",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",63.1,9,"Prioritaire","Enseignants pour 100 jardins d'enfants|Enseignants du préscolaire pour 100 établissements|Toilettes améliorées (WC / eau) (%)","Bâtiments recensés par établissement|Jardins d'enfants pour 100 écoles primaires|Points de toilettes pour 100 établissements","-2.25|-2.16|-1.49","0.46|0.58|2.29","Kpendjal-Ouest se situe au rang 9 sur 39 au niveau national avec un score ISPE de 63.1 (prioritaire). Ce classement s'explique principalement par : enseignants pour 100 jardins d'enfants ; enseignants du préscolaire pour 100 établissements ; toilettes améliorées (wc / eau) (%). Le territoire conserve des atouts relatifs sur : bâtiments recensés par établissement ; jardins d'enfants pour 100 écoles primaires ; points de toilettes pour 100 établissements."
"Savanes","Oti",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",35.1,39,"Satisfaisant","Établissements pour 100 km²|Établissements avec terrain de sport (%)|Jardins d'enfants pour 100 écoles primaires","Bâtiments recensés par établissement|Points de toilettes pour 100 établissements|Toilettes améliorées (WC / eau) (%)","-0.3|-0.27|0","0.84|1.11|1.97","Oti se situe au rang 39 sur 39 au niveau national avec un score ISPE de 35.1 (satisfaisant). Ce classement s'explique principalement par : établissements pour 100 km² ; établissements avec terrain de sport (%) ; jardins d'enfants pour 100 écoles primaires. Le territoire conserve des atouts relatifs sur : bâtiments recensés par établissement ; points de toilettes pour 100 établissements ; toilettes améliorées (wc / eau) (%)."
"Savanes","Oti-Sud",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",51.1,26,"Modéré","Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements|Établissements avec terrain de sport (%)","Bâtiments construits depuis 2010 (%)|Toilettes améliorées (WC / eau) (%)|Points de toilettes pour 100 établissements","-1.66|-0.99|-0.97","0.86|1.61|1.68","Oti-Sud se situe au rang 26 sur 39 au niveau national avec un score ISPE de 51.1 (modéré). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements ; établissements avec terrain de sport (%). Le territoire conserve des atouts relatifs sur : bâtiments construits depuis 2010 (%) ; toilettes améliorées (wc / eau) (%) ; points de toilettes pour 100 établissements."
